Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
;;Набор для вышивания счетными швами;Counted cross stitch kit;Zestaw do haftowania szwami licz?cymi;Cанау тігістері кестелеуге арнал?ан жина?;Stickpackung f?r Z?hlstich-Stickerei; Kit de broderie aux points compt?s;Kit de bordado con punto de cruz;Kit per ricamo con croce numerabile;Набор для вышывання падліковымі швамі;;;Эсептелген тигиштер сайма ?ч?н топтом;Hisoblangan tikuvlar tikish uchun to‘plam;
;;Сумка;Shopper bag;Torba shopper;шоппер с?мкесі;Einkaufsbeutel;Sac en toile;Bolsa de tela;Borsa di tela;сумка-шоппер;;;шоппер сумка;shopper sumka ;
;;сумка-шоппер (100% хлопок) с нанесенным рисунком;a shopping bag (100% cotton) with applied pattern;;?лгімен шоппер с?мкесі (100% ма?та);;;;;сумка-шоппер (100% бавоўна) з нанесеным малюнкам;;;?лг? менен шоппер сумка (100% пахта);naqshli shopper sumka (100% paxta);
;;пенал-косметичка (80% хлопок, 20% полиэстер) с нанесенным рисунком;a makeup box (80% cotton, 20% polyester) with applied pattern;;?лгімен косметикалы? ?орапшасы (80% ма?та, 20% полиэстер);;;;;пенал-касметычка (80% бавоўна, 20% поліэстэр) з нанесеным малюнкам;;;?лг? менен косметикалык куту (80% пахта, 20% полиэстер);;
;;мелок для тонировки (сепия);Sepia chalk for toning;Kreda do tonowania (sepia);Тонирование ?шін бор (сепия);;Craie pour tonifier (sepia);;;Мел для таніравання (сэпія);;;к???ртт?? ?ч?н борлор (сепия);tus beradigan bo'r (sepiya);
;;карандаш для тонировки (сепия);Sepia pencil for toning;O??wek do tonowania (sepia);Тонирование ?шін ?арындаш (сепия);;Crayon pour tonifier (s?pia);;;Аловак для таніравання (сэпія);;;;;
;;подвеска; pendant;wisiorek;кулон;Anh?nger;pendant;colgante;ciondolo;падвеска;підвіска;;кулон;kulon;
;;картон с напечатанным контуром;cardboard with a printed outline;;баспа контуры бар картон;Karton mit dem gedruckten Kontur;carton avec le contour imprim?;;;кардон з надрукаваным контурам;;;басылган контур менен картон;konturli bosilgan karton;
;;картон с печатью;cardboard with a printed outline;;баспа контуры бар картон;Karton mit dem gedruckten Kontur;carton avec le contour imprim?;;;кардон з надрукаваным контурам;;;басылган ч?йр? сызыгы бар картон;konturli bosilgan karton;
;;картон белый;white cardboard;bia?y karton;а? картон;wei?e Pappe;carton blanc;cart?n blanco;cartone bianco;белы кардон;;;ак картон;oq karton;
;;портновский маркер;;;тігінші маркері;;marqueur de tailleur;;;кравецкі маркер;;;тиг??ч?н?н маркери;tikuvchining belgisi;
;;маркировочное кольцо;marking ring;;та?балау арналган са?ина;;bague de marquage;;;маркіровачнае кольца;;;белгил?? ?ч?н шакек;belgilash uchun halqa;
;;пяльцы;embroidery hoop;;кестелеу кергіш;Stickrahmen;m?tier ? broder;;;пяльцы;;;саймалар ?ч?н алкак ;kashta tikish halqa;
;;Набор для вязания;Crochet kit;;То?у?а арнал?ан жина?;;Kit de tricot;;;Набор для вязання;;;Токуу ?ч?н топтом;To'qish to'plam;
;;Набор для вязания игрушки;Toy knitting kit;;Ойыншы?ты то?у?а арнал?ан жина?;;Kit de tricot du jouet;;;Набор для вязання цацкі;;;Оюнчукту токуу ?ч?н топтом;O'yinchoq to'qiydigan to'plam;
;;амигуруми;Amigurumi;;;;;;;;;;;;
;;японская техника вязания игрушек;Japanese toy knitting technique;;;;;;;;;;;;
;;видео-уроки + подробная инструкция;video lessons + detailed instructions;;;;;;;;;;;;
;;продвинутый уровень;advanced level;;;;;;;;;;;;
;;розетка для бусин;rosette for beads;;монша?тар?а арнал?ан розетка;Rosette f?r Perlen;rosette pour perles;;;разетка для пацерак;;;мончоктор ?ч?н розетка;munchoqlar uchun rozet;
;;Листовка ;General leaflet;;Жалпы пара?ша;Allgemeines Flugblatt;D?pliant g?n?ral;;;Лістоўка;;;Жалпы барак;Umumiy varaq;
;;Листовка-схема;Chart leaflet;;Пара?ша-схема;Flugblattschema;D?pliant de diagramme;;;Лістоўка-схема;;;Барак-схема;Varaq-sxemasi;
;карабин;карабин;carabiner;;карабин;Karabiner;mousqueton;;;карабін;;;карабин;karabin;
;карабины;карабины;carabiners;;карабиндер;Karabineren;mousquetons;;;карабіны;;;карабиндер;karabinlar;
;нитки капрон;нитки капрон;organza threads;;капрон жіптер;Kaprongarn;fils nylon;;;ніткі капрон;;;капрон жиптер;kapron iplar;
;концевики;концевики;end clamps;;со?ы ?ыс?ыштар;Endklemmen;pinces d'extr?mit?;;;;;;акыркы кыскычтар;tugatish qisqichlar;
;глаза пластиковые;глаза пластиковые;plastic eyes;;пластикалы? к?здер;;yeux en plastique;;;вочы пластыкавыя;;;пластикалык к?зд?р;plastik ko'zlar;
;Оборотная сторона подушки;Оборотная сторона подушки;Reverse side of the pillow;;Жасты?ты? арт?ы жа?ы ;R?ckseite des Kissens ;Revers de l'oreiller ;;;Адваротны бок падушкі;;;Жаздыктын тескери жагы;Yostiqning orqa tomoni ;
;светодиодная гирлянда с батарейками;светодиодная гирлянда с батарейками;LED garland with batteries;;батареялары бар жары?диодты гирлянда;;guirlande LED avec piles;;;святлодыёдная гірлянда з батарэйкамі;;;батареялар менен жарык диоддук гирлянда;batareyalar bilan LED gulchambar;
;тресс (синтетические волосы для кукол);тресс (синтетические волосы для кукол);tress (dolls' synthetic hair);;тресс (?уырша?тарды? синтетикалы? шашы);;tresse (cheveux synth?tiques de poup?es;;;;;;тресс (куурчак синтетикалык чачы);tress (qo'g'irchoqning sintetik sochlari);
;ботинки для кукол;ботинки для кукол;doll shoes;;?уырша? б?те?кесі;;chaussures de poup?e;;;;;;куурчак батинкеси;qo'g'irchoq botinkasi;
;соединительные кольца;соединительные кольца;connecting rings;-;жал?аушы шы?ырдар;verbindungsringe;-;-;-;-;-;-;бириктир??ч? шакектер;biriktiruvchi halqalar;
